The score of this solution is 17290 found after 1253 seconds with total gap = 157.247%.

The best bound obtained with the dualised problem is 6721.16.

Here is the list of activated arcs : 

Source,Target
0,32
0,37
0,38
0,43
0,44
0,46
0,51
0,53
0,54
0,57
0,58
0,59
1,18
2,30
3,17
4,7
5,55
6,16
7,0
8,35
9,56
10,6
11,0
12,0
13,0
14,9
15,29
16,20
17,39
18,0
19,0
20,0
21,41
22,0
23,45
24,52
25,0
26,0
27,10
28,0
29,21
30,12
31,23
32,34
33,22
34,4
35,13
36,49
37,8
38,3
39,2
40,1
41,11
42,24
43,31
44,25
45,33
46,5
47,28
48,40
49,47
50,27
51,48
52,26
53,15
54,42
55,19
56,0
57,36
58,50
59,14
