The score of this solution is 19229 found after 67.2752 seconds with total gap = 152.667%.

The best bound obtained with the dualised problem is 7610.42.

Here is the list of activated arcs : 

Source,Target
0,5
0,8
0,9
0,12
0,13
0,24
0,28
0,29
0,31
0,32
0,43
0,45
0,48
0,52
0,55
0,56
0,57
1,54
2,0
3,0
4,44
5,27
6,0
7,30
8,64
9,22
10,3
11,0
12,7
13,17
14,0
15,19
16,51
17,10
18,1
19,0
20,59
21,18
22,26
23,34
24,58
25,0
26,46
27,61
28,60
29,62
30,33
31,36
32,20
33,0
34,0
35,0
36,14
37,39
38,49
39,0
40,47
41,25
42,63
43,16
44,2
45,38
46,0
47,0
48,15
49,21
50,0
51,0
52,42
53,23
54,11
55,4
56,50
57,35
58,0
59,0
60,53
61,37
62,41
63,40
64,6
