The score of this solution is 3887 found after 53.0491 seconds with total gap = 573.828%.

The best bound obtained with the dualised problem is 576.853.

Here is the list of activated arcs : 

Source,Target
0,17
0,23
0,60
0,61
0,65
0,66
0,67
0,69
0,70
0,71
0,73
0,74
0,75
0,76
0,77
0,80
0,81
0,82
0,83
1,78
2,37
3,59
4,34
5,0
6,84
7,62
8,0
9,28
10,6
11,44
12,22
13,45
14,38
15,0
16,0
17,47
18,14
19,54
20,36
21,49
22,32
23,19
24,0
25,42
26,9
27,56
28,0
29,0
30,52
31,4
32,8
33,30
34,0
35,31
36,41
37,0
38,5
39,0
40,15
41,0
42,0
43,18
44,12
45,68
46,39
47,53
48,57
49,46
50,72
51,16
52,29
53,0
54,40
55,50
56,0
57,20
58,3
59,79
60,58
61,10
62,0
63,25
64,26
65,48
66,27
67,7
68,0
69,43
70,64
71,63
72,2
73,13
74,21
75,11
76,55
77,51
78,0
79,0
80,33
81,35
82,1
83,24
84,0
