The score of this solution is 959 found after 1019.67 seconds with total gap = 89.1259%.

The best bound obtained with the dualised problem is 507.07.

Here is the list of activated arcs : 

Source,Target
0,9
0,19
0,53
0,57
0,69
1,0
2,37
3,4
4,11
5,47
6,55
7,38
8,60
9,65
10,42
11,35
12,56
13,43
14,45
15,13
16,73
17,23
18,54
19,14
20,36
21,15
22,24
23,58
24,51
25,46
26,44
27,62
28,67
29,8
30,16
31,5
32,70
33,26
34,33
35,77
36,74
37,78
38,68
39,27
40,10
41,22
42,7
43,76
44,6
45,32
46,52
47,59
48,29
49,3
50,0
51,48
52,2
53,18
54,49
55,12
56,25
57,79
58,1
59,75
60,31
61,66
62,17
63,71
64,0
65,28
66,21
67,34
68,0
69,72
70,64
71,50
72,41
73,61
74,0
75,20
76,39
77,40
78,63
79,30
