The score of this solution is 38920 found after 1001.04 seconds with total gap = 294.884%.

The best bound obtained with the dualised problem is 9856.07.

Here is the list of activated arcs : 

Source,Target
0,34
0,36
0,40
0,45
0,46
0,48
0,49
0,50
0,57
0,59
0,61
0,63
0,65
0,66
0,68
0,69
0,71
0,73
0,74
0,75
0,78
0,80
0,84
0,86
0,88
1,3
2,39
3,0
4,22
5,21
6,14
7,55
8,53
9,70
10,35
11,29
12,44
13,16
14,0
15,30
16,23
17,0
18,33
19,0
20,85
21,0
22,52
23,0
24,54
25,0
26,20
27,7
28,1
29,0
30,67
31,0
32,0
33,0
34,5
35,0
36,11
37,9
38,82
39,41
40,13
41,87
42,0
43,0
44,0
45,12
46,2
47,79
48,89
49,81
50,28
51,42
52,0
53,0
54,58
55,0
56,43
57,4
58,0
59,17
60,19
61,51
62,77
63,47
64,60
65,8
66,27
67,0
68,10
69,15
70,0
71,56
72,25
73,76
74,26
75,72
76,32
77,0
78,62
79,0
80,37
81,83
82,6
83,0
84,24
85,31
86,38
87,0
88,64
89,18
