The score of this solution is 26913 found after 1566.35 seconds with total gap = 253.633%.

The best bound obtained with the dualised problem is 7610.42.

Here is the list of activated arcs : 

Source,Target
0,9
0,12
0,19
0,23
0,25
0,31
0,32
0,36
0,39
0,43
0,50
0,53
0,56
0,58
0,60
0,62
0,64
1,4
2,3
3,0
4,0
5,6
6,0
7,8
8,0
9,27
10,11
11,0
12,57
13,10
14,16
15,17
16,0
17,54
18,1
19,15
20,22
21,38
22,0
23,34
24,26
25,48
26,0
27,33
28,35
29,30
30,0
31,55
32,28
33,41
34,14
35,0
36,20
37,46
38,40
39,61
40,47
41,45
42,21
43,52
44,2
45,42
46,0
47,49
48,7
49,18
50,24
51,13
52,0
53,29
54,0
55,44
56,59
57,5
58,63
59,0
60,51
61,37
62,0
63,0
64,0
