The score of this solution is 5925 found after 289.477 seconds with total gap = 576.246%.

The best bound obtained with the dualised problem is 876.16.

Here is the list of activated arcs : 

Source,Target
0,3
0,15
0,32
0,33
0,34
0,53
0,54
0,64
0,75
0,77
1,2
2,0
3,68
4,5
5,0
6,35
7,8
8,0
9,12
10,16
11,18
12,0
13,39
14,4
15,6
16,0
17,43
18,28
19,21
20,23
21,38
22,81
23,0
24,51
25,27
26,49
27,0
28,0
29,83
30,62
31,48
32,67
33,72
34,88
35,71
36,37
37,0
38,22
39,1
40,78
41,50
42,61
43,13
44,14
45,17
46,55
47,19
48,56
49,24
50,52
51,40
52,58
53,31
54,26
55,65
56,73
57,44
58,9
59,11
60,59
61,41
62,86
63,45
64,76
65,84
66,79
67,46
68,29
69,82
70,42
71,80
72,70
73,60
74,89
75,0
76,47
77,69
78,20
79,30
80,57
81,7
82,87
83,63
84,25
85,66
86,10
87,74
88,85
89,36
