The score of this solution is 1143 found after 38.8514 seconds with total gap = 125.413%.

The best bound obtained with the dualised problem is 507.07.

Here is the list of activated arcs : 

Source,Target
0,63
0,65
0,74
0,78
1,55
2,37
3,4
4,11
5,59
6,0
7,21
8,58
9,10
10,42
11,35
12,77
13,43
14,67
15,13
16,50
17,8
18,79
19,14
20,36
21,69
22,31
23,34
24,16
25,23
26,44
27,53
28,54
29,61
30,62
31,5
32,70
33,49
34,12
35,45
36,76
37,0
38,68
39,46
40,52
41,28
42,7
43,56
44,9
45,72
46,27
47,15
48,6
49,3
50,2
51,24
52,19
53,18
54,47
55,51
56,25
57,60
58,57
59,29
60,33
61,66
62,17
63,71
64,1
65,41
66,38
67,0
68,0
69,32
70,64
71,73
72,48
73,75
74,26
75,20
76,39
77,40
78,30
79,22
