The score of this solution is 48028 found after 591.297 seconds with total gap = 387.294%.

The best bound obtained with the dualised problem is 9856.07.

Here is the list of activated arcs : 

Source,Target
0,5
0,11
0,12
0,16
0,23
0,29
0,30
0,33
0,35
0,38
0,39
0,40
0,44
0,45
0,51
0,54
0,58
0,59
0,65
0,66
0,67
0,71
0,74
0,76
0,81
0,87
1,62
2,0
3,28
4,57
5,80
6,53
7,0
8,86
9,89
10,17
11,26
12,6
13,31
14,8
15,88
16,83
17,0
18,0
19,0
20,0
21,0
22,10
23,36
24,42
25,18
26,24
27,0
28,49
29,77
30,27
31,0
32,72
33,22
34,7
35,4
36,0
37,73
38,82
39,46
40,75
41,0
42,20
43,0
44,1
45,34
46,2
47,50
48,0
49,0
50,25
51,70
52,0
53,0
54,69
55,52
56,0
57,0
58,37
59,14
60,19
61,85
62,0
63,79
64,84
65,63
66,68
67,15
68,78
69,9
70,43
71,3
72,41
73,48
74,56
75,32
76,64
77,21
78,13
79,0
80,0
81,55
82,61
83,0
84,0
85,0
86,0
87,47
88,60
89,0
