The score of this solution is 358 found after 2503.52 seconds with total gap = 135.451%.

The best bound obtained with the dualised problem is 842.913.

Here is the list of activated arcs : 

Source,Target
0,9
0,12
0,23
0,24
0,34
0,38
0,43
1,36
2,56
3,32
4,31
5,29
6,0
7,55
8,2
9,40
10,15
11,37
12,33
13,50
14,18
15,8
16,39
17,0
18,0
19,22
20,25
21,45
22,0
23,52
24,30
25,58
26,10
27,5
28,0
29,1
30,35
31,54
32,21
33,16
34,11
35,26
36,0
37,49
38,59
39,47
40,4
41,7
42,28
43,3
44,17
45,48
46,14
47,53
48,51
49,13
50,19
51,6
52,57
53,46
54,41
55,0
56,44
57,42
58,27
59,20
