The score of this solution is 1320 found after 1000.16 seconds with total gap = -40.3739%.

The best bound obtained with the dualised problem is 787.065.

Here is the list of activated arcs : 

Source,Target
0,3
0,7
0,8
0,15
0,18
0,20
0,29
0,30
0,35
0,41
0,42
0,45
0,46
0,47
0,50
0,58
0,62
0,67
1,26
2,16
3,6
4,48
5,0
6,23
7,69
8,25
9,51
10,0
11,12
12,19
13,0
14,0
15,52
16,57
17,0
18,4
19,0
20,66
21,31
22,33
23,0
24,0
25,0
26,36
27,0
28,27
29,2
30,28
31,0
32,0
33,24
34,0
35,11
36,0
37,5
38,44
39,1
40,68
41,63
42,22
43,56
44,0
45,9
46,65
47,37
48,54
49,59
50,38
51,55
52,61
53,32
54,14
55,0
56,10
57,0
58,64
59,0
60,13
61,60
62,39
63,49
64,21
65,40
66,43
67,17
68,34
69,53
