The score of this solution is 15955 found after 1000.21 seconds with total gap = -51.4463%.

The best bound obtained with the dualised problem is 7746.74.

Here is the list of activated arcs : 

Source,Target
0,15
0,21
0,37
0,49
0,55
0,59
0,61
0,62
0,63
0,70
1,68
2,18
3,19
4,48
5,45
6,30
7,0
8,20
9,25
10,23
11,28
12,39
13,32
14,69
15,29
16,31
17,66
18,6
19,0
20,0
21,1
22,57
23,50
24,34
25,60
26,13
27,8
28,0
29,33
30,35
31,74
32,11
33,24
34,73
35,58
36,9
37,51
38,47
39,3
40,54
41,64
42,4
43,0
44,17
45,43
46,12
47,41
48,14
49,2
50,0
51,16
52,71
53,26
54,0
55,53
56,7
57,0
58,65
59,52
60,22
61,46
62,42
63,38
64,10
65,40
66,27
67,44
68,72
69,0
70,67
71,5
72,36
73,0
74,56
