Source,Target
0,12
0,21
0,37
0,67
0,70
1,30
2,57
3,16
4,75
5,69
6,28
7,76
8,1
9,68
10,36
11,35
12,82
13,53
14,19
15,6
16,17
17,71
18,42
19,83
20,65
21,26
22,4
23,39
24,15
25,78
26,72
27,80
28,40
29,58
30,29
31,84
32,61
33,0
34,20
35,45
36,7
37,3
38,25
39,79
40,60
41,66
42,81
43,31
44,63
45,62
46,51
47,55
48,10
49,74
50,2
51,9
52,18
53,48
54,0
55,0
56,44
57,27
58,38
59,14
60,41
61,50
62,0
63,8
64,52
65,59
66,11
67,46
68,49
69,43
70,23
71,64
72,34
73,32
74,77
75,24
76,33
77,56
78,0
79,73
80,47
81,22
82,5
83,54
84,13
