Source,Target
0,14
0,44
0,58
0,61
0,62
0,66
0,69
0,80
0,90
1,56
2,16
3,21
4,37
5,93
6,63
7,11
8,41
9,73
10,17
11,85
12,94
13,30
14,88
15,75
16,40
17,19
18,45
19,28
20,36
21,81
22,0
23,22
24,26
25,86
26,46
27,77
28,0
29,55
30,76
31,20
32,68
33,59
34,51
35,1
36,23
37,42
38,82
39,91
40,6
41,49
42,10
43,0
44,87
45,15
46,48
47,83
48,33
49,9
50,72
51,39
52,2
53,52
54,3
55,57
56,50
57,32
58,13
59,0
60,64
61,18
62,60
63,35
64,29
65,7
66,78
67,4
68,92
69,79
70,71
71,54
72,0
73,0
74,70
75,5
76,25
77,0
78,34
79,65
80,84
81,0
82,53
83,43
84,89
85,74
86,8
87,38
88,31
89,47
90,12
91,0
92,27
93,67
94,24
