Source,Target
0,25
0,62
0,70
0,74
0,80
1,78
2,57
3,37
4,22
5,82
6,15
7,33
8,12
9,0
10,27
11,66
12,13
13,5
14,59
15,24
16,3
17,16
18,52
19,14
20,34
21,54
22,81
23,79
24,75
25,38
26,21
27,36
28,6
29,30
30,1
31,84
32,73
33,0
34,0
35,45
36,8
37,76
38,58
39,23
40,28
41,64
42,47
43,31
44,56
45,11
46,51
47,18
48,10
49,67
50,41
51,68
52,61
53,48
54,83
55,42
56,77
57,0
58,29
59,65
60,50
61,32
62,35
63,44
64,2
65,20
66,71
67,46
68,9
69,53
70,39
71,17
72,26
73,40
74,43
75,4
76,7
77,49
78,72
79,60
80,55
81,0
82,63
83,19
84,69
