Source,Target
0,69
0,70
0,71
0,73
0,74
0,77
0,81
0,84
0,85
0,86
0,87
1,75
2,51
3,13
4,37
5,47
6,4
7,0
8,58
9,57
10,29
11,0
12,1
13,39
14,33
15,16
16,82
17,44
18,21
19,0
20,27
21,79
22,7
23,0
24,0
25,14
26,15
27,61
28,52
29,54
30,55
31,5
32,89
33,28
34,48
35,67
36,46
37,56
38,22
39,38
40,18
41,64
42,88
43,26
44,8
45,31
46,25
47,19
48,40
49,30
50,43
51,78
52,23
53,11
54,76
55,0
56,53
57,10
58,0
59,65
60,41
61,24
62,20
63,60
64,59
65,0
66,50
67,3
68,0
69,45
70,42
71,80
72,2
73,83
74,49
75,17
76,68
77,32
78,62
79,0
80,12
81,34
82,0
83,63
84,6
85,66
86,9
87,72
88,35
89,36
