Source,Target
0,5
0,15
0,31
0,40
0,54
0,62
0,72
1,3
2,4
3,17
4,0
5,52
6,7
7,0
8,81
9,11
10,63
11,0
12,13
13,0
14,37
15,75
16,21
17,0
18,83
19,84
20,49
21,92
22,29
23,34
24,46
25,70
26,94
27,55
28,12
29,0
30,43
31,58
32,19
33,66
34,26
35,1
36,23
37,77
38,85
39,88
40,51
41,87
42,10
43,44
44,68
45,93
46,0
47,69
48,16
49,9
50,33
51,39
52,48
53,8
54,80
55,57
56,59
57,60
58,32
59,14
60,42
61,18
62,82
63,35
64,47
65,78
66,24
67,76
68,91
69,28
70,71
71,74
72,61
73,22
74,56
75,41
76,25
77,6
78,90
79,2
80,65
81,36
82,53
83,67
84,89
85,45
86,50
87,38
88,86
89,64
90,30
91,73
92,27
93,20
94,79
