Source,Target
0,6
0,17
0,23
0,37
0,41
0,42
0,49
0,57
0,58
1,56
2,16
3,0
4,10
5,21
6,63
7,62
8,81
9,73
10,66
11,80
12,94
13,30
14,25
15,35
16,8
17,11
18,0
19,28
20,61
21,34
22,0
23,75
24,26
25,93
26,1
27,19
28,88
29,55
30,76
31,68
32,85
33,59
34,51
35,64
36,7
37,2
38,82
39,91
40,0
41,77
42,44
43,20
44,87
45,15
46,48
47,83
48,70
49,86
50,72
51,39
52,45
53,52
54,3
55,0
56,0
57,32
58,13
59,14
60,50
61,18
62,60
63,67
64,29
65,27
66,78
67,4
68,92
69,79
70,71
71,54
72,0
73,22
74,33
75,40
76,36
77,90
78,46
79,65
80,84
81,5
82,53
83,43
84,89
85,74
86,31
87,38
88,0
89,47
90,12
91,0
92,9
93,69
94,24
