Source,Target
0,28
0,34
0,36
0,43
0,49
0,51
0,54
0,61
0,65
0,67
0,69
0,70
0,73
0,75
0,76
0,81
0,82
0,84
1,78
2,37
3,59
4,40
5,0
6,50
7,62
8,0
9,0
10,64
11,55
12,22
13,3
14,30
15,58
16,71
17,26
18,7
19,17
20,8
21,27
22,15
23,19
24,0
25,32
26,9
27,41
28,11
29,68
30,0
31,4
32,0
33,38
34,74
35,31
36,23
37,0
38,5
39,80
40,0
41,0
42,83
43,18
44,56
45,16
46,0
47,44
48,0
49,60
50,0
51,13
52,72
53,77
54,52
55,14
56,0
57,20
58,53
59,48
60,79
61,10
62,0
63,25
64,0
65,63
66,6
67,35
68,46
69,42
70,57
71,0
72,47
73,29
74,21
75,12
76,66
77,0
78,0
79,33
80,2
81,45
82,39
83,24
84,1
