Source,Target
0,37
0,65
0,70
0,72
1,78
2,57
3,16
4,75
5,82
6,28
7,33
8,63
9,43
10,36
11,45
12,8
13,5
14,59
15,6
16,17
17,71
18,47
19,76
20,14
21,26
22,4
23,39
24,15
25,21
26,34
27,80
28,40
29,30
30,1
31,84
32,61
33,0
34,83
35,62
36,7
37,3
38,58
39,79
40,60
41,66
42,81
43,69
44,56
45,35
46,51
47,42
48,10
49,67
50,2
51,49
52,18
53,13
54,38
55,48
56,77
57,27
58,29
59,19
60,41
61,50
62,0
63,44
64,52
65,74
66,11
67,31
68,46
69,53
70,23
71,64
72,54
73,32
74,9
75,24
76,0
77,68
78,25
79,73
80,55
81,22
82,12
83,20
84,0
